918649174400425985,"b""RT @jskylerinc: Therapy is a necessity and will certainly EASE the pain, but it won't, in &amp; of itself, cure suicide ideation that stems fro\xe2\x80\xa6"""
918649075137998848,b'RT @jskylerinc: Please who deal with suicide ideation still have to navigate through daily life.'
918648952110616576,b'RT @jskylerinc: Please who deal with suicide ideation still have to navigate through daily life.'
918637175004069888,"b'@CozbyBates Depressive symptoms, major depressive episode, self-harm, anxiety, suicidal ideation &amp; suicide all up a\xe2\x80\xa6 https://t.co/qn1aOOEnOf'"
918582540742443008,"b""RT @jskylerinc: Likewise, strong emotional support systems won't in and of themselves resolve suicide ideation steaming from internal confl\xe2\x80\xa6"""
918582477593047041,b'RT @jskylerinc: Sometimes suicide ideation is treatable because the cause can be rectified.'
918581693191213056,"b""RT @jskylerinc: Poverty, particularly if it's generational, can fuel suicide ideation like no other."""
918580771807531009,"b""RT @jskylerinc: Poverty, particularly if it's generational, can fuel suicide ideation like no other."""
918580608133197826,"b""RT @jskylerinc: Poverty, particularly if it's generational, can fuel suicide ideation like no other."""
918580032666206208,b'RT @jskylerinc: Depression and suicide ideation often go hand-in-hand.'
918580028195078145,"b""RT @jskylerinc: Therapy is a necessity and will certainly EASE the pain, but it won't, in &amp; of itself, cure suicide ideation that stems fro\xe2\x80\xa6"""
918580018657206272,"b""RT @jskylerinc: Likewise, strong emotional support systems won't in and of themselves resolve suicide ideation steaming from internal confl\xe2\x80\xa6"""
918579983710240768,"b""RT @jskylerinc: Therapy is a necessity and will certainly EASE the pain, but it won't, in &amp; of itself, cure suicide ideation that stems fro\xe2\x80\xa6"""
918579923434041345,b'RT @jskylerinc: Depression and suicide ideation often go hand-in-hand.'
918579892811210752,b'RT @jskylerinc: Sometimes suicide ideation is treatable because the cause can be rectified.'
918579822187573249,b'RT @jskylerinc: Please who deal with suicide ideation still have to navigate through daily life.'
918579780118773760,b'RT @jskylerinc: Depression and suicide ideation often go hand-in-hand.'
918579395056476160,b'RT @jskylerinc: Part of the objective of the anthology would be choosing characters that would likely (or be unlikely) to suffer suicide id\xe2\x80\xa6'
918579344435380224,"b""RT @jskylerinc: An idea I've had for a long time: an anthology (either canon or non) of superheroes in therapy sessions dealing with suicid\xe2\x80\xa6"""
918579101312544768,"b""RT @jskylerinc: Poverty, particularly if it's generational, can fuel suicide ideation like no other."""
918563286257487874,"b""while I'm not actively suicidal anymore I still have suicide ideation and lots of intrusive thoughts and those idk how to deal with"""
